,user_id,data,data_type,length,time
296,1162805024,Всмысле?),text,9,1751708368
297,1162805024,"Да что?
Всмысле?
Я не понимаю",text,29,1751708424
298,1162805024,Так я не думал об этом вообще если честно..,text,43,1751708467
299,1162805024,Да пиздец..,text,11,1751708535
300,1162805024,"Знакомый график..
Ты половину актива создаешь походу",text,52,1751708613
301,1162805024,Я реально потом процент твоих сообщений посчитаю для интереса),text,62,1751708668
302,1162805024,Привет привет),text,14,1751730823
303,1162805024,код чата,text,8,1751732358
304,1162805024,"калл теперь у нас работают репорты, если видите какое то нарушение правил, используйте !репорт в Ирисе",text,102,1751732548
305,1162805024,!репорт,text,7,1751732586
306,1162805024,В правилах такого нету),text,23,1751736506
307,1162805024,Я в рест,text,8,1751736676
308,1162805024,Меня сожгут??,text,13,1751736717
309,1162805024,Больше на холокост похожу,text,25,1751736731
310,1162805024,AwACAgIAAyEFAASj_XDDAAKnx2hpYeGeTzXockdWNd6IH95SIRL7AAJ4fwACJOxJS0CI-gj_Z9nZNgQ,voice,7,1751736801
311,1162805024,кто я,text,5,1751736802
312,1162805024,Бля почти 666,text,13,1751736819
313,1162805024,кто я,text,5,1751736821
314,1162805024,Давай!!!!,text,9,1751736849
315,1162805024,Кто я,text,5,1751736874
316,1162805024,Сука,text,4,1751736878
317,1162805024,"Ирис, иди нахуй",text,15,1751736884
318,1162805024,Нагадай мне рест,text,16,1751736934
319,1162805024,Мда..,text,5,1751737146
320,1162805024,AwACAgIAAyEFAASj_XDDAAKn5GhpY1Fn1uIphUm-ZY8YnqO9G9BRAAKEfAACwodJS8UwgUC1_SNvNgQ,voice,5,1751737169
321,1162805024,Привет привет),text,14,1751737637
322,1162805024,А?,text,2,1751738043
323,1162805024,"Я не успел увидеть, я видел только как сообщение удалили",text,56,1751738078
324,1162805024,Точно),text,6,1751738114
325,1162805024,AwACAgIAAyEFAASj_XDDAAKof2hpZzwBbVtT5Hp8MYaDmQ8jIPiEAAL9fAACwodJS4GuI8Ic7VNCNgQ,voice,12,1751738172
326,1162805024,AwACAgIAAyEFAASj_XDDAAKohWhpZ3XfuDdCeAXaAyl1XbzKvbt6AAIFfQACwodJS6hbeVg5cXQHNgQ,voice,11,1751738229
327,1162805024,AwACAgIAAyEFAASj_XDDAAKolGhpZ7e2HY_W8C85sFA_rRLo0t28AAILfQACwodJSz9a8MkzqNF7NgQ,voice,6,1751738295
328,1162805024,"Да я ж хотел одно правило ввести, забыл что не ввёл, а гс удалил уже)",text,69,1751738348
329,1162805024,"Лучше не отчёт, а само видео",text,28,1751738460
330,1162805024,Естественно),text,12,1751738485
331,1162805024,"Не, так только мне можно",text,24,1751742838
332,8029691476,Доброе утречко),text,15,1750124084
333,8029691476,Окак,text,4,1750129209
334,8029691476,Все хорошо),text,11,1750156433
335,8029691476,Да),text,3,1750245738
336,8029691476,Ну не знаю меня так в школе называют),text,37,1750245806
337,8029691476,С начальных классов до старших классов),text,39,1750245859
338,8029691476,Приветики),text,10,1750248406
339,8029691476,25 июня),text,8,1750264864
340,8029691476,Здравствуйте,text,12,1750275945
341,8029691476,Ой,text,2,1750693122
342,8029691476,Доброе утречко,text,14,1750749110
343,8029691476,Как ваши дела?,text,14,1750749138
344,8029691476,"Радуете,тоже",text,12,1750749186
345,8029691476,Ого,text,3,1750754921
346,8029691476,🆘 меня засыпают поздравлениями😨,text,31,1750781161
347,8029691476,Спасибо😊),text,9,1750781249
348,8029691476,Ого спасибочки большое☺☺☺,text,25,1750781310
349,8029691476,Спасибочки большое,text,18,1750781379
350,8029691476,Спасибочки,text,10,1750781666
351,8029691476,Ой спасибочки вам больше),text,25,1750781870
352,8029691476,Спасибочки😊,text,11,1750782935
353,8029691476,Спасибочки,text,10,1750785312
354,8029691476,Спасибочки☺☺☺☺,text,14,1750785417
355,8029691476,Спасибочки ☺,text,12,1750787671
